sample	samples	sample_type	PAM50Call_RNAseq	UBE2T	BIRC5	NUF2	CDC6	CCNB1	TYMS	MYBL2	CEP55	MELK	NDC80	RRM2	UBE2C	CENPF	PTTG1	EXO1	ORC6L	ANLN	CCNE1	CDC20	MKI67	KIF2C	ACTR3B	MYC	EGFR	KRT5	PHGDH	CDH3	MIA	KRT17	FOXC1	SFRP1	KRT14	ESR1	SLC39A6	BAG1	MAPT	PGR	CXXC5	MLPH	BCL2	MDM2	NAT1	FOXA1	BLVRA	MMP11	GPR160	FGFR4	GRB7	TMEM45B	ERBB2
TCGA-C8-A26Y-01	TCGA-C8-A26Y-01	Primary Tumor	Her2	10.95	9.222	9.613	9.656	10.59	10.85	11.04	9.312	9.081	9.995	12.24	10.65	11.16	9.684	8.578	7.892	11.25	9.168	9.917	12.04	9.711	7.178	6.907	11.22	5.93	11.59	9.893	3.457	4.722	7.943	7.502	2.126	4.636	10.24	9.279	10.41	4.131	10.77	12.62	7.181	11.05	8.206	13.03	9.511	10.74	11.2	7.421	8.563	7.85	12.18
TCGA-AO-A0J2-01	TCGA-AO-A0J2-01	Primary Tumor	Her2	10.69	10.73	9.043	10.34	10.93	10.5	11.61	9.904	9.88	9.375	12.22	10.79	11.79	10.81	9.462	7.471	10.72	8.058	11.42	12.44	10.39	8.01	11.01	9.202	7.721	11.46	12.18	0.6843	8.3	6.517	11.02	1.097	6.794	11.09	10.76	6.734	3.339	7.199	11.86	6.099	10.33	7.571	12.44	9.979	12.79	8.038	9.08	9.526	9.351	13.11
TCGA-BH-A0EE-01	TCGA-BH-A0EE-01	Primary Tumor	Her2	10.36	8.01	9.202	13.06	11.51	10.98	10.36	11.94	11.46	10.41	10.74	9.791	11.69	10.75	8.605	7.716	9.497	7.845	11.26	11.24	10.38	7.288	8.554	8.668	2.88	10.64	12.46	2.559	5.905	6.381	6.381	1.589	8.201	11.52	11.05	6.182	2.59	8.557	11.9	6.304	9.989	8.021	12.57	11.23	9.839	10.7	4.303	11.83	9.881	15.3
TCGA-A8-A07I-01	TCGA-A8-A07I-01	Primary Tumor	Her2	10.29	8.39	8.382	8.432	10.44	9.424	10.34	9.663	9.585	8.981	11.3	9.595	12.12	8.574	8.829	7.316	11.73	6.733	9.876	11.71	9.513	5.315	10.38	7.524	8.52	8.072	8.909	3.834	8.975	6.375	7.359	8.271	13.8	12.39	10.93	9.878	5.753	10.5	13.09	10.82	10.85	9.698	13.3	9.858	14.96	9.844	9.769	13	9.094	16.82
TCGA-C8-A1HF-01	TCGA-C8-A1HF-01	Primary Tumor	Her2	10.27	11.07	9.242	9.98	11.42	10.01	10.33	10.18	10.41	9.247	11.79	11.36	11.85	10.37	8.605	7.941	10.28	8.365	11.02	11.83	10.64	7.544	9.054	5.412	5.661	12.16	6.742	1.536	10.58	6.152	6.75	4.954	10.16	11.39	10.12	8.529	7.257	9.497	10.9	8.693	10.83	8.16	12.59	10.03	15.01	10.28	11.9	13.36	8.011	17.41
TCGA-C8-A275-01	TCGA-C8-A275-01	Primary Tumor	Her2	10.17	9.693	9.426	9.225	11.36	11.17	10.79	10.23	10.19	9.505	12.44	10.55	12.51	10.03	8.944	9.239	12.06	7.103	10.13	12.95	10.25	6.271	8.816	6.527	7.738	9.412	11.18	2.974	8.181	6.243	6.55	6.76	6.522	11.37	10.48	8.455	4.651	8.875	12.53	8.104	10.73	7.892	12.87	9.936	13.26	11.56	10.83	13.8	11.59	17.47
TCGA-B6-A0I9-01	TCGA-B6-A0I9-01	Primary Tumor	Her2	10.09	9.201	9.522	8.846	10.77	9.986	8.902	9.002	8.155	8.838	10.62	9.883	12.1	9.274	9.589	9.397	11.23	6.958	8.919	11.84	9.296	6.276	8.204	6.65	10.15	9.912	10.69	4.834	9.767	6.924	9.373	10.25	13.55	13.48	9.219	5.664	6.597	9.93	13.01	9.332	10.71	7.98	12.77	10.56	12.56	10.79	8.969	12.58	7.933	17.57
TCGA-AN-A04C-01	TCGA-AN-A04C-01	Primary Tumor	Her2	10.07	9.765	8.977	9.045	10.47	10.45	11.22	9.562	9.385	9.326	10.79	10.36	11.73	9.007	8.921	9.273	9.467	7.998	9.751	11.65	9.797	8.853	11.07	7.848	9.476	11.09	7.279	4.056	10.18	5.946	7.035	8.815	9.215	11.74	10.02	7.526	3.925	8.583	12.74	6.503	9.728	6.428	12.4	10.53	9.499	10.52	10.14	13.15	9.488	17.29
TCGA-A8-A08J-01	TCGA-A8-A08J-01	Primary Tumor	Her2	9.981	8.606	7.727	11.63	10.01	9.481	10.07	8.745	8.237	7.936	11.54	10.31	9.781	8.736	8.243	6.684	9.402	6.457	8.547	10.93	9.07	6.693	8.432	6.206	8.741	9.903	9.085	2.428	9.562	5.928	5.752	8.798	11.53	12.95	9.897	10.34	9.308	9.571	13.27	9.027	11.27	10.86	12.87	10.27	13.56	10.54	10.81	13.16	8.901	16.85
TCGA-A2-A0EQ-01	TCGA-A2-A0EQ-01	Primary Tumor	Her2	9.903	9.704	8.534	10.03	10.39	11.1	11.48	9.651	9.709	8.705	10.97	10.47	12.05	9.525	8.808	8.246	10.18	6.54	10.08	12.67	10.01	8.9	9.787	12.64	6.651	11.95	8.69	1.641	4.169	5.756	5.617	3.916	9.194	12	10.77	7.044	3.792	8.422	11.11	11.21	10.64	7.923	12.62	9.316	10.43	10.16	12.1	9.149	7.449	12.61
